discouraged_ability,alpha,test_ability,score,baseline,delta_pct
CEc,-1.0,QLq,59.0,61.0,-3.278688524590164
CEc,-1.0,SNs,0.0,0.0,0.0
CEc,-1.0,KNa,419.0,464.0,-9.698275862068966
CEc,-1.0,KNc,224.0,239.0,-6.2761506276150625
CEc,-1.0,KNf,228.0,233.0,-2.1459227467811157
CEc,-1.0,KNn,166.0,195.0,-14.871794871794872
CEc,-1.0,KNs,262.0,266.0,-1.5037593984962405
CEc,-1.0,AT,100.0,99.0,1.0101010101010102
CEc,-1.0,VO,20.0,18.0,11.11111111111111
CEc,0.0,AS,28.0,28.0,0.0
CEc,0.0,CEc,83.0,83.0,0.0
CEc,0.0,CEe,3.0,3.0,0.0
CEc,0.0,CL,43.0,43.0,0.0
CEc,0.0,MCr,29.0,29.0,0.0
CEc,0.0,MCt,138.0,138.0,0.0
CEc,0.0,MCu,88.0,88.0,0.0
CEc,0.0,MS,20.0,20.0,0.0
CEc,0.0,QLl,55.0,55.0,0.0
CEc,0.0,QLq,61.0,61.0,0.0
CEc,0.0,SNs,0.0,0.0,0.0
CEc,0.0,KNa,464.0,464.0,0.0
CEc,0.0,KNc,239.0,239.0,0.0
CEc,0.0,KNf,233.0,233.0,0.0
CEc,0.0,KNn,195.0,195.0,0.0
CEc,0.0,KNs,266.0,266.0,0.0
CEc,0.0,AT,99.0,99.0,0.0
CEc,0.0,VO,18.0,18.0,0.0
CEc,0.5,AS,28.0,28.0,0.0
CEc,0.5,CEc,81.0,83.0,-2.4096385542168677
CEc,0.5,CEe,3.0,3.0,0.0
CEc,0.5,CL,43.0,43.0,0.0
CEc,0.5,MCr,29.0,29.0,0.0
CEc,0.5,MCt,138.0,138.0,0.0
CEc,0.5,MCu,82.0,88.0,-6.8181818181818175
CEc,0.5,MS,20.0,20.0,0.0
CEc,0.5,QLl,63.0,55.0,14.545454545454545
CEc,0.5,QLq,56.0,61.0,-8.19672131147541
CEc,0.5,SNs,0.0,0.0,0.0
CEc,0.5,KNa,462.0,464.0,-0.43103448275862066
CEc,0.5,KNc,236.0,239.0,-1.2552301255230125
CEc,0.5,KNf,217.0,233.0,-6.866952789699571
CEc,0.5,KNn,192.0,195.0,-1.5384615384615385
CEc,0.5,KNs,271.0,266.0,1.8796992481203008
CEc,0.5,AT,99.0,99.0,0.0
CEc,0.5,VO,18.0,18.0,0.0
CEe,-3.0,AS,28.0,28.0,0.0
CEe,-3.0,CEc,63.0,83.0,-24.096385542168676
CEe,-3.0,CEe,0.0,3.0,-100.0
CEe,-3.0,CL,22.0,43.0,-48.837209302325576
CEe,-3.0,MCr,15.0,29.0,-48.275862068965516
CEe,-3.0,MCt,87.0,138.0,-36.95652173913043
CEe,-3.0,MCu,56.0,88.0,-36.36363636363637
CEe,-3.0,MS,21.0,20.0,5.0
CEe,-3.0,QLl,38.0,55.0,-30.909090909090907
CEe,-3.0,QLq,31.0,61.0,-49.18032786885246
CEe,-3.0,SNs,0.0,0.0,0.0
CEe,-3.0,KNa,240.0,464.0,-48.275862068965516
CEe,-3.0,KNc,154.0,239.0,-35.56485355648535
CEe,-3.0,KNf,114.0,233.0,-51.072961373390555
CEe,-3.0,KNn,98.0,195.0,-49.743589743589745
CEe,-3.0,KNs,165.0,266.0,-37.96992481203007
CEe,-3.0,AT,83.0,99.0,-16.161616161616163
CEe,-3.0,VO,20.0,18.0,11.11111111111111
CEe,-2.0,AS,29.0,28.0,3.571428571428571
CEe,-2.0,CEc,81.0,83.0,-2.4096385542168677
CEe,-2.0,CEe,3.0,3.0,0.0
CEe,-2.0,CL,29.0,43.0,-32.55813953488372
CEe,-2.0,MCr,25.0,29.0,-13.793103448275861
CEe,-2.0,MCt,122.0,138.0,-11.594202898550725
CEe,-2.0,MCu,74.0,88.0,-15.909090909090908
CEe,-2.0,MS,25.0,20.0,25.0
CEe,-2.0,QLl,45.0,55.0,-18.181818181818183
CEe,-2.0,QLq,40.0,61.0,-34.42622950819672
CEe,-2.0,SNs,0.0,0.0,0.0
CEe,-2.0,KNa,337.0,464.0,-27.370689655172413
CEe,-2.0,KNc,212.0,239.0,-11.297071129707113
