discouraged_ability,alpha,test_ability,score,baseline,delta_pct
CEc,-1.0,QLq,111.0,117.0,-5.128205128205128
CEc,-1.0,SNs,0.0,0.0,0.0
CEc,-1.0,KNa,473.0,517.0,-8.51063829787234
CEc,-1.0,KNc,301.0,317.0,-5.047318611987381
CEc,-1.0,KNf,259.0,266.0,-2.631578947368421
CEc,-1.0,KNn,243.0,274.0,-11.313868613138686
CEc,-1.0,KNs,331.0,346.0,-4.335260115606936
CEc,-1.0,AT,335.0,350.0,-4.285714285714286
CEc,-1.0,VO,78.0,84.0,-7.142857142857142
CEc,0.0,AS,229.0,229.0,0.0
CEc,0.0,CEc,316.0,316.0,0.0
CEc,0.0,CEe,30.0,30.0,0.0
CEc,0.0,CL,252.0,252.0,0.0
CEc,0.0,MCr,193.0,193.0,0.0
CEc,0.0,MCt,376.0,376.0,0.0
CEc,0.0,MCu,426.0,426.0,0.0
CEc,0.0,MS,86.0,86.0,0.0
CEc,0.0,QLl,236.0,236.0,0.0
CEc,0.0,QLq,117.0,117.0,0.0
CEc,0.0,SNs,0.0,0.0,0.0
CEc,0.0,KNa,517.0,517.0,0.0
CEc,0.0,KNc,317.0,317.0,0.0
CEc,0.0,KNf,266.0,266.0,0.0
CEc,0.0,KNn,274.0,274.0,0.0
CEc,0.0,KNs,346.0,346.0,0.0
CEc,0.0,AT,350.0,350.0,0.0
CEc,0.0,VO,84.0,84.0,0.0
CEc,0.5,AS,229.0,229.0,0.0
CEc,0.5,CEc,323.0,316.0,2.2151898734177213
CEc,0.5,CEe,30.0,30.0,0.0
CEc,0.5,CL,261.0,252.0,3.571428571428571
CEc,0.5,MCr,200.0,193.0,3.6269430051813467
CEc,0.5,MCt,380.0,376.0,1.0638297872340425
CEc,0.5,MCu,427.0,426.0,0.2347417840375587
CEc,0.5,MS,86.0,86.0,0.0
CEc,0.5,QLl,242.0,236.0,2.5423728813559325
CEc,0.5,QLq,111.0,117.0,-5.128205128205128
CEc,0.5,SNs,0.0,0.0,0.0
CEc,0.5,KNa,515.0,517.0,-0.3868471953578337
CEc,0.5,KNc,314.0,317.0,-0.9463722397476341
CEc,0.5,KNf,258.0,266.0,-3.007518796992481
CEc,0.5,KNn,271.0,274.0,-1.094890510948905
CEc,0.5,KNs,351.0,346.0,1.4450867052023122
CEc,0.5,AT,350.0,350.0,0.0
CEc,0.5,VO,81.0,84.0,-3.571428571428571
CEe,-3.0,AS,114.0,229.0,-50.21834061135371
